"EnglishName","Number","Waste","Density","Energy, kJ","Energy, kcal","Protein Conversion Factor (NCF)","total-N","Protein, total","Protein, declaration","Carbohydrate best. v / Diff.","Carbohydrate available","carbohydrate, declaration","Added sugar","dietary Fiber","Fat, total","Fat Acid Conversion Factor (FCF)","Alcohol","Ash","solids","Water","Vitamin A","retinol","ß-carotene","D vitamin","D3 cholecalciferol","25-hydroxycholecalciferol","Vitamin E","alpha-tocopherol","gamma-tocopherol","delta-tocopherol","alpha-tokotrienol","Vitamin K1","Vitamin B1","(Thiamine)","(HET, hydroxyethylthiazole)","Vitamin B2, riboflavin","niacin","niacin","Vitamin B6","pantothenic acid","biotin","folate","Free folate","Vitamin B12","Vitamin C","L-ascorbic acid","L-dehydroascorbic","Chloride, Cl","Sodium, Na","Potassium, K","Calcium, Ca","Magnesium, Mg","Phosphor, P","Iron, Fe","Copper, Cu","Zinc, Zn","Iodine, I","Manganese, Mn","Chrom, Cr","Selen, Se","Molybdenum, Mo","Cobolt, Co","Nickel, Ni","Mercury, Hg","Arsen, As","Cadmium, Cd","Lead, Pb","Tin, Sn","L-lactic acid","D-lactic acid","Lactic acid, total","citric acid","Oxalic acid, total","malic acid","Acetic acid","fumaric","benzoic acid","sorbic acid","propionic acid","Organic acids, tot.","Histamine","tyramine","phenylethylamine","putrescin","cadaverine","spermine","spermidine","serotonin","fructose","galactose","glucose","Monosaccharides, total","lactose","maltose","sucrose","Disaccharides, total","raffinose","Other sugars","Sugars, in total","sorbitol","mannitol","inositol","maltitol","Sugar alcohols, total","Starch","(A) Hexoses","(B) the pentoses","(C) UronicAcids","cellulose","lignin","Crude fibers","Neutr.Det.Fibre (NDF)","C4: 0","C6: 0","C8: 0","C10: 0","C12: 0","C14: 0","C15: 0","C16: 0","C17: 0","C18: 0","C20: 0","C22: 0","C24: 0","Others met.","C14: 1 n-5","C15: 1","C16: 1 n-7","C17: 1 n-7","C18: 1 n-9","C18: 1 n-7","C20: 1 n-9","C20: 1 n-11","C22: 1 n-9","C22: 1 n-11","C 24: 1 n-9","Other mono","C18: 2 n-6","C18: 2, conj-A, undifferentiated","C18: 3, n-3","C18: 3 n-6","C18: 4, n-3","C20: 2 n-6","C20: 3 n-3","C20: 3 n-6","C20: 4, n-3","C20: 4, n-6","C20: 5, n-3","C22: 5, n-3","C22: 6, n-3","Other polyunsaturated","C16: 1 trans","C18: 1, trans n-9","C20: 1 trans","C22: 1 trans","C18: 2, trans, undifferentiated","Other fatty acids","Some saturated","Total mono-set","Some polyunsaturated","Total trans fatty acids","Fatty acids, total","Sum of n-3 fatty acids","Sum of n-6 fatty acids","cholesterol","isoleucine","leucine","lysine","methionine","cystine","phenylalanine","tyrosine","threonine","tryptophan","Valin","arginine","histidine","alanine","aspartic acid","glutamic acid","glycine","proline","Serin"
"","","Svind","Massefylde","Energi, kJ","Energi, kcal","Proteinomregningsfaktor (NCF)","total-N","Protein, total","Protein, deklaration","Kulhydrat best. v/diff.","Kulhydrat, tilgængelig","kulhydrat, deklaration","Tilsat sukker","Kostfiber","Fedt, total","Fedtsyrekonverteringsfaktor (FCF)","Alkohol","Aske","Tørstof","Vand","A-vitamin","Retinol","ß-caroten","D-vitamin","D3 cholecalciferol","25-hydroxycholecalciferol","E-vitamin","alfa-tokoferol","gamma-tokoferol","delta-tokoferol","alfa-tokotrienol","K1-vitamin","B1-vitamin","(thiamin)","(HET, hydroxyethylthiazole)","B2-vitamin, riboflavin","Niacin","niacin","B6-vitamin","Pantothensyre","Biotin","Folat","Frit folat","B12-vitamin","C-vitamin","L-ascorbinsyre","L-dehydroascorbinsyre","Chlorid, Cl","Natrium, Na","Kalium, K","Calcium, Ca","Magnesium, Mg","Phosphor, P","Jern, Fe","Kobber, Cu","Zink, Zn","Jod, I","Mangan, Mn","Chrom, Cr","Selen, Se","Molybdæn, Mo","Cobolt, Co","Nikkel, Ni","Kviksølv, Hg","Arsen, As","Cadmium, Cd","Bly, Pb","Tin, Sn","L-mælkesyre","D-mælkesyre","Mælkesyre, total","Citronsyre","Oxalsyre, total","Æblesyre","Eddikesyre","Fumarsyre","Benzoesyre","Sorbinsyre","Propionsyre","Organiske syrer, tot.","Histamin","Tyramin","Phenylethylamin","Putrescin","Cadaverin","Spermin","Spermidin","Serotonin","Fructose","Galaktose","Glucose","Monosaccharider, total","Lactose","Maltose","Saccharose","Disaccharider, total","Raffinose","Andre sukkerarter","Sukkerarter, ialt","Sorbitol","Mannitol","Inositol","Maltitol","Sukkeralkoholer, total","Stivelse","(a)Hexoses","(b)Pentoses","(c)UronicAcids","Cellulose","Lignin","Crude fibre","Neutr.Det.Fibre (NDF)","C4:0","C6:0","C8:0","C10:0","C12:0","C14:0","C15:0","C16:0","C17:0","C18:0","C20:0","C22:0","C24:0","Andre mætt.","C14:1,n-5","C15:1","C16:1,n-7","C17:1,n-7","C18:1,n-9","C18:1,n-7","C20:1,n-9","C20:1,n-11","C22:1,n-9","C22:1,n-11","C24:1,n-9","Andre monoumætt.","C18:2,n-6","C18:2,conj-A, udifferentieret","C18:3,n-3","C18:3,n-6","C18:4,n-3","C20:2,n-6","C20:3,n-3","C20:3,n-6","C20:4,n-3","C20:4,n-6","C20:5,n-3","C22:5,n-3","C22:6,n-3","Andre polyumættede","C16:1,trans","C18:1,trans n-9","C20:1,trans","C22:1,trans","C18:2,trans, udifferentieret","Andre fedtsyrer","Sum mættede","Sum monoumættede","Sum polyumættede","Sum transfedtsyrer","Fedtsyrer, total","Sum n-3 fedtsyrer","Sum n-6 fedtsyrer","Cholesterol","Isoleucin","Leucin","Lysin","Methionin","Cystin","Phenylalanin","Tyrosin","Threonin","Tryptofan","Valin","Arginin","Histidin","Alanin","Asparaginsyre","Glutaminsyre","Glycin","Prolin","Serin"
"English Name","NUM.","252","363","137","356","219","300","218","317","170","172","318","259","168","141","140","19","33","265","268","12","225","303","126","128","11","135","276","286","282","277","164","37","36","157","39","203","294","40","210","42","143","145","38","47","175","177","114","201","165","108","184","214","162","166","274","163","187","117","230","190","120","204","174","32","107","43","260","178","125","192","119","209","302","136","147","41","236","217","208","158","263","212","221","106","239","238","232","146","148","149","191","179","185","228","18","222","29","245","237","188","160","343","244","243","8","9","10","112","181","123","202","103","104","105","48","49","51","56","58","63","65","77","89","100","27","52","57","59","64","67","66","347","78","92","90","101","26","71","72","74","75","76","80","82","85","349","86","87","98","99","28","60","70","79","93","73","24","248","247","251","261","340","249","250","115","161","180","183","189","124","211","264","258","262","266","31","159","17","34","150","153","216","231"
"Strawberry, raw","1","4","","162","39","6.25","0.106","0.7","0.7","8.3","6.9","6.9","0","1.5","0.6","0.8","0","0.4","10","90","3.33","0","40","0","0","","0.414","0.414","","","","20","0.015","","","0.011","0.567","0.434","0.045","0.129","0.701","117","15","0","66.8","64.8","2.05","","0.508","179","18.5","12.5","23.8","0.255","0.038","0.104","0.05","0.342","0.069","0.18","0","","3.52","0.002","0.303","0.591","0.314","","","","","","","","","","0.03","","","","0.01","0","","","","","","0.003","3.16","","2.85","6.01","","","0.056","0.056","","","6.07","0","","","","0","0","0.22","0.28","0.63","0.59","0.39","","","","","","","","","","0.05","","","","","","","","","","","0.083","","","","","","","","0.182","","0.166","","","","","","","0","","","","","","","","","","","0.05","0.083","0.348","0","0.481","0.166","0.182","0","24","39","35","10","4","22","11","22","8","29","40","12","31","96","90","25","23","30"
"Apple, raw, all varieties","2","10","","233","56","6.25","0.043","0.3","0.3","14.3","12.1","12.1","0","2.2","0.2","0.8","0","0.3","15.1","84.9","2.08","0","25","0","0","","0.254","0.254","","","","3","0.013","","","0.008","0.173","0.123","0.046","0.072","0.996","9","3","0","8.26","7.76","0.503","","0.601","118","4.13","4.49","9.52","0.121","0.031","0.024","0.098","0.06","0.111","0.005","0","","0.516","0.001","0.028","0.025","0.149","","","","","","","","","","0.03","","","","0.01","0","","","","0.222","9.86","0.003","6.05","","1.76","7.8","0","0","3.09","3.09","","","10.9","0.436","","","","0.436","0","0.12","0.25","0.49","0.76","0","","","","","","","","","","0.038","","0.007","","","","","","","","","0.007","","","","","","","","0.103","","0.028","","","","","","","0","","","","","","","","","","","0.045","0.007","0.131","0","0.183","0.028","0.103","0","9","14","13","3","1","7","4","8","3","10","6","4","11","78","22","8","8","11"
"Banana, raw","3","41","","396","95","6.25","0.183","1.1","1.1","22.6","21","21","0","1.6","0.2","0.73","0","0.7","24.7","75.3","4.42","0","53","0","0","","0.27","0.27","","","","","0.04","","","0.014","0.762","0.595","0.305","0.258","1.57","38","12","0","11.2","8.11","3.09","","0","348","6.62","28.1","25.6","0.251","0.106","0.167","0.048","0.459","0","0.352","","","4.08","0.009","0.021","0.014","0.083","","","","","","","","","","0.03","","","","0.01","0.21","","","","","","1.5","7.01","","6.93","13.9","","","1.43","1.43","","","15.4","0.014","","","","0.014","4.33","0.58","0.23","0.28","0.37","0.27","","","0","0","0","0","0","0","","0.07","0","0.012","0","0","0","","0","","0.012","","0.032","0","","0","0","0","0","","0.024","","0","","0","0","0","0","","","0","0","0","","","","","","","0","0.082","0.044","0.024","0","0.15","0","0.024","0","35","90","51","10","3","35","20","33","10","53","49","84","35","117","106","37","38","53"
"Potato, raw","4","25","","326","78","6.25","0.324","2","2","17.3","15.9","15.9","0","1.4","0.3","0.8","0","0.9","20.5","79.5","0.833","0","10","0","0","","0.1","0.1","","","","16","0.055","","","0.063","2.12","1.6","0.2","0.38","0.47","36","10","0","26.4","23.4","3","","7","414","6.76","20.4","55.3","1.04","0.052","0.3","1.2","0.23","0.6","0.268","0","","5.76","0.28","1.39","2.07","0.813","","","","","","","","","","0.03","","","","","0.1","","","","","","0.003","0.24","","0.34","0.58","0","0","0.66","0.66","0.06","0","1.24","","","","","","16.7","0.93","0.26","0.46","0.89","0","","","","","","","","","","0.046","","0.01","","","","","","","0.005","","0.01","","","","","","","","0.07","","0.093","","","","","","","","","","","","","","","","","","0.056","0.015","0.163","0","0.234","0.093","0.07","0","75","110","117","28","17","81","39","68","31","120","84","36","71","428","269","58","71","71"
"Raspberry, raw","5","0","","215","51","6.25","0.219","1.4","1.4","10.6","6.2","6.2","0","4.4","1.4","0.8","0","0.5","13.8","86.2","3.5","0","42","0","0","","1.4","1.4","","","","","0.03","","","0.05","0.75","0.5","0.09","0.24","1.9","44","15","0","24","24","","","2","228","19.7","17","38","0.55","0.105","0.34","0.4","1.2","0.8","0.189","0","","17.9","0.025","0.41","1.12","0.8","","","","","","","","","","2.5","","","","","4.82","","","","","","0.003","2.15","","1.85","4","","0","0.05","0.05","","","4.05","0","","","","0","0","0.37","0.83","0.67","2","2.67","","","","","","","","","","0.088","","0.015","","","","","","","","","0.104","","","","","","","","0.472","","0.401","","","","","","","","","","","","","","","","","","0.103","0.104","0.873","0","1.08","0.401","0.472","0","","","","","","","","","15","","","","","","","","",""
"Milk, whole, konventional (not organic), 3.5 % fat","6","0","","264","63","6.38","0.536","3.4","3.4","4.6","4.6","4.7","0","0","3.5","0.945","0","0.8","12.3","87.7","31.7","30.4","16","0.067","0.009","0.008","0.06","0.06","","","","0","0.041","","","0.172","0.854","0.087","0.046","0.356","1.56","11","4","0.446","1.2","1.2","","93.1","44.3","144","116","11","92.7","0.016","0.011","0.415","10.7","0.002","0.05","1.64","5","","0.705","0.03","0.3","0.002","0.089","","","","","0.193","","","","","0.045","","","0.193","0.01","0","","","","","","0.03","0","0","0","0","4.61","0","0","4.61","","","4.61","","","","","","0","0","0","0","0","0","","","0.129","0.087","0.048","0.102","0.126","0.369","0.037","1","","0.347","","","","","0.034","","0.054","","0.665","0.031","","","","","","","0.048","0.011","0.014","","","","","","","","","","","","","0.107","","","0.025","0.048","2.25","0.784","0.073","0.132","3.28","0.014","0.048","14","198","327","306","86","26","172","145","145","46","236","118","96","113","279","681","70","332","193"
"Parsley, raw","8","34","","201","48","6.25","0.594","3.7","3.7","7.8","3.7","3.7","0","4.1","1.2","0.8","0","2.1","14.8","85.2","474","0","5690","0","0","","2.7","2.7","","","","790","0.12","","","0.3","2.63","1.7","0.2","0.3","0.4","116","41","0","308","308","","","64","641","185","29","72","3.6","0.09","0.46","13.5","2.7","7","0.1","10","","50","1.5","3","3","19","","","","","","","","","","","","","","","","","","","","","","0.3","","0.5","0.8","0","0","0","0","","","0.8","","","","","","0.43","0.89","0.89","0.28","1.63","0.59","","","","","","","","","","0.155","","0.007","","","","","","","0.027","","","","","","","","","","0.274","","0.457","","","","","","","","","","","","","","","","","","0.162","0.027","0.731","0","0.92","0.457","0.274","0","149","255","226","52","18","178","101","154","56","214","154","77","244","368","309","178","267","172"
"Pear, raw","9","9","","207","49","6.25","0.049","0.3","0.3","14.4","11.1","11.1","0","3.2","0.1","0.8","0","0.3","15","85","5.42","0","65","0","0","","0.58","0.58","","","","","0.01","","","0.009","0.28","0.23","0.01","0.052","0.447","16","4","0","6.06","5.26","0.8","","0.778","122","10.1","6.46","11.2","0.103","0.065","0.112","0.165","0.052","0.023","0.1","0","","8.5","1.09","0.467","0.479","0.164","","","","","","","","","","","","","","0.01","0","","","","","","0.003","5.97","","1.67","7.64","0","0","0.688","0.688","","","8.33","2.24","","","","2.24","0","0.33","0.63","0.33","0.63","0.4","","","","","","","","","","0.01","","0.002","","","","","","","0.001","","0.007","","","","","","","","0.025","","0.008","","","","","","","","","","","","","","","","","","0.012","0.008","0.033","0","0.053","0.008","0.025","0","12","20","20","3","2","12","5","11","3","15","9","6","14","57","31","12","27","15"
"Rhubarb, raw","10","38","","108","26","6.25","0.144","0.9","0.9","6.8","3","3","0","3.8","0.3","0.8","0","1.5","9.5","90.5","9.83","0","118","0","0","","0.35","0.35","","","","","0.03","","","0.03","0.433","0.25","0.04","0.085","","7","9","0","13","13","","","3","280","115","12","24.2","0.3","0.056","0.23","0.3","0.17","0.6","0.371","0","","7.17","0.05","0.06","1.69","1.2","","","","","","","","","","0.03","","","","","0","","","","","","","0.75","","0.89","1.64","0","0","0","0","","","1.64","","","","","","0.22","0.81","0.35","0.6","1.31","0.12","","","","","","","","","","0.057","","0.007","","","","","","","","","0.016","","","","","","","","0.121","","0.039","","","","","","","","","","","","","","","","","","0.064","0.016","0.16","0","0.24","0.039","0.121","0","27","39","40","11","1","26","17","22","11","42","33","19","29","46","76","27","24","27"
"Currant, black, raw","11","2","","314","75","6.25","0.243","1.5","1.5","17.2","11.4","11.4","0","5.8","1.3","0.8","0","0.9","20.9","79.1","10.8","0","130","0","0","","2.1","2.1","","","","","0.025","","","0.025","0.517","0.3","0.08","0.398","2.4","8.2","15","0","181","181","","","3","337","59.1","22","47.9","0.8","0.099","0.29","1.5","0.31","0.8","1.1","0","","9.64","0.03","0.17","0.181","1.48","","","","","","","","","","0.03","","","","","0.03","","","","","","","4.93","","4.12","9.05","0","0","0.745","0.745","","","9.79","0","","","","0","0","0.89","0.32","0.06","1.38","1.02","","","","","","","","","","0.223","","0.021","","","","","","","","","0.083","","","","","","","","0.489","","0.244","","","","","","","0","","","","","","","","","","","0.244","0.083","0.733","0","1.06","0.244","0.489","0","","","","","","","","","13","","","","","","","","",""
